"","Author","Book","District","State","Notes","BanDate"
"1","Kobabe, Maia","Gender Queer","Adams 12 Five Star Schools","Colorado","",""
"2","Evison, JOnathan ","Lawn Boy","Adams 12 Five Star Schools","Colorado","",""
"3","Kobabe, Maia","Gender Queer: A Memoir","Anchorage School District","Alaska","",""
"4","Johnson, George M","All Boys Aren't blue","Ankeny Community School District","Iowa","https://www.ankenyschools.org/news/2021/11/book-reviews-and-recommendations/",""
"5","Kobabe, Maia","Gender Queer: A Memoir","Ankeny Community School District","Iowa","https://www.ankenyschools.org/news/2021/11/book-reviews-and-recommendations/",""
"6","Andrews, Jesse","Me, Earl and the Dying GIrl","Ankeny Community School District","Iowa","8-12 GR",""
"7","Alexie, Sherman","The Absolutely True Diary of a Part-Time Indian","Ankeny Community School District","Iowa","7-12 GR",""
"8","Johnson, George M","All Boy's Aren't Blue","Auburn Enlarged City School District","New York","committee send recommendation to board - unclear response. also - recommending that the board review the collections policies.",""
"9","Reynolds, Jason and Brenden Kiely","All American Boys","Baldwinsville Central School District","New York","","January 2022"
"10","Johnson, George M","All Boys Aren't blue","Baldwinsville Central School District","New York","",""
"11","Atwood, Margaret","The Handmaid's Tale","Baldwinsville Central School District","New York","","January 2022"
"12","Kobabe, Maia","GEnder Queer: A Memoir","Baltimore County Public Schools","Maryland","social media",""
"13","Evison, Jonathan","Lawn Boy","Bastrop","Texas","",""
"14","Perez, Ashley Hope","OUT OF DARKNESS","Bastrop","Texas","",""
"15","Morrison, Toni","Beloved","Bedford","Virginia","",""
"16","Wall, Jeanette","The Glass Castle","Bedford","Virginia","",""
"17","Hosseini, Khaled","The Kite Runner","Bedford","Virginia","",""
"18","Levithan, David","Two Boys Kissing","Bedford","Virginia","",""
"19","","All Boys Aren't Blue","Bedford County School District ","Virginia","February 2022",""
"20","","Beautiful Music for Ugly Children","Bedford County School District ","Virginia","February 2022",""
"21","Morrison, Toni","Beloved","Bedford County School District ","Virginia","February 2022",""
"22","","Freak Boy","Bedford County School District ","Virginia","February 2022",""
"23","","Glass Castle","Bedford County School District ","Virginia","February 2022",""
"24","","Kite Runner","Bedford County School District ","Virginia","February 2022",""
"25","","Love Drugged","Bedford County School District ","Virginia","February 2022",""
"26","","Murder Trending","Bedford County School District ","Virginia","February 2022",""
"27","Gino, Alex","RICK","Bedford County School District ","Virginia","February 2022",""
"28","Morrison, Toni","The Bluest Eye","Bedford County School District ","Virginia","February 2022",""
"29","","What My Mother Doesn't Know","Bedford County School District ","Virginia","February 2022",""
"30","Maas, Sarah J","A Court of Mist and Fury","Bentonville","Arkansas","",""
"31","MOrrison, Toni","The Bluest Eye","Bentonville","Arkansas","",""
"32","Roy, Arundhati","The God of Small Things","Bentonville","Arkansas","",""
"33","Hosseini, Khaled","The Kite Runner","Bentonville","Arkansas","",""
"34","Morrison, Toni","The Bluest Eye","Berkeley County Schools","West Virginia","",""
"35","Kobabe, Maia","Gender Queer: A Memoir","Billings Public Schools","Montana","""explicit sexual descriptions""",""
"36","Evison, Jonthan","Lawn Boy","Billings Public Schools","Montana","""explicit sexual descriptions""",""
"37","Kuklin, Susan","Beyond magenta :
 transgender teens speak
 out","Birdville","Texas","",""
"38","Kuklin, Susan","Beyond magenta :
 transgender teens speak
 out","Birdville","Texas","",""
"39","Bechdel, Alison","FUN HOME: A Family Tragicomic","Birdville","Texas","",""
"40","Kobabe, Maia","Gender Queer: A Memoir","Birdville","Texas","Richland High School",""
"41","Haris, Robie","It's perfectly normal : a book about changing bodies, growing up, sex, and sexual health","Birdville","Texas","",""
"42","Rosen, LC","Jack of Hearts and Other Parts","Birdville","Texas","",""
"43","","Kite Runner","Birdville","Texas","complaint incorrectly identified author - Mariko Tamaki",""
"44","Myracle, Lauren","L8r, G8r","Birdville","Texas","",""
"45","Jackson, Tiffany D.","Monday's Not Coming","Birdville","Texas","Parent - Birdville HIgh School",""
"46","Steinbeck, JOhn","Of Mice and Men","Birdville","Texas","",""
"47","Perez, Ashley Hope","Out of Darkness","Birdville","Texas","",""
"48","Fleischman, Paul","Seedfolks","Birdville","Texas","",""
"49","Morrison, Toni","The Bluest Eye","Birdville","Texas","",""
"50","Tamaki, Mariko and Jillian Tamaki","This One Summer","Birdville","Texas","",""
"51","Hutchinson, Shaun David","We Are the Ants","Birdville","Texas","",""
"52","Asher, Jay","13 Reasons Why","Bixby Public Schools","Oklahoma","After community challenge Bixby Public Schools willkeep pair of books in library",""
"53","Andrews, Jesse","Me and Earl and the Dying Girl","Bixby Public Schools","Oklahoma","After community challenge Bixby Public Schools willkeep pair of books in library",""
"54","Yep, Laurence","Dragonwings","Blount County Schools","Tennessee","",""
"55","Andrews, Jesse","Me, Earl and the Dying GIrl","Blount County Schools","Tennessee","",""
"56","Bechdel, Alison","FUN Home; A Tragic Comic","Blue Valley USD 229","Kansas","",""
"57","Kobabe, Maia","GEnder Queer: A Memoir","Blue Valley USD 229","Kansas","",""
"58","Kobabe, Maia","Gender Queer: A Memoir","Bremerton","Washington","",""
"59","Andrews, Jesse","The Haters","Brevard County Public Schools","Florida","Brevard Cty M4L Site Stating They Are On Quarentine",""
"60","Arnold, Elana K.","Damsel","Brevard County Public Schools","Florida","Brevard Cty M4L Site Stating They Are On Quarentine",""
"61","Arnold, Elana K.","Infandous","Brevard County Public Schools","Florida","Brevard Cty M4L Site Stating They Are On Quarentine",""
"62","Arnold, Elana K.","Red Hood","Brevard County Public Schools","Florida","Brevard Cty M4L Site Stating They Are On Quarentine",""
"63","Arnold, Elana K.","What Girls Are Made Of","Brevard County Public Schools","Florida","Brevard Cty M4L Site Stating They Are On Quarentine",""
"64","Blume, Judy","Forever","Brevard County Public Schools","Florida","Brevard Cty M4L Site Stating They Are On Quarentine",""
"65","Chbosky, Stephen","The Perks of Being a Wallflower","Brevard County Public Schools","Florida","LIst 4",""
"66","Dawson, Juno","This Book is Gay","Brevard County Public Schools","Florida","Brevard Cty M4L Site Stating They Are On Quarentine",""
"67","Hopkins, Ellen","Crank","Brevard County Public Schools","Florida","Brevard Cty M4L Site Stating They Are On Quarentine",""
"68","Hopkins, Ellen","Tilt","Brevard County Public Schools","Florida","Brevard Cty M4L Site Stating They Are On Quarentine",""
"69","Hopkins, Ellen","Triangles","Brevard County Public Schools","Florida","Brevard Cty M4L Site Stating They Are On Quarentine",""
"70","Hopkins, Ellen","Tricks","Brevard County Public Schools","Florida","Brevard Cty M4L Site Stating They Are On Quarentine",""
"71","Hopkins, Ellen","People Kill People","Brevard County Public Schools","Florida","LIst 4",""
"72","Hosseini, Khaled","The Kite Runner","Brevard County Public Schools","Florida","LIst 4",""
"73","Jackson, Tiffany D.","Monday's Not Coming ","Brevard County Public Schools","Florida","Brevard Cty M4L Site Stating They Are On Quarentine",""
"74","Johnson, George M","All Boys Aren't Blue","Brevard County Public Schools","Florida","LIst 4",""
"75","Kaur, Rupi","Milk and Honey","Brevard County Public Schools","Florida","LIst 4",""
"76","Kepnes, Caroline","YOU: A Novel","Brevard County Public Schools","Florida","List 3",""
"77","Kobabe, Maia","Gender Queer: A Memoir","Brevard County Public Schools","Florida","Superintendent initiatied",""
"78","Lo, Malinda","Last Night at the Telegraph Club","Brevard County Public Schools","Florida","List 3",""
"79","Maas, Sarah J.","A Court of Mist and Fury","Brevard County Public Schools","Florida","Brevard Cty M4L Site Stating They Are On Quarentine",""
"80","Maas, Sarah J.","A Court of Silver Flames","Brevard County Public Schools","Florida","List 3",""
"81","Maas, Sarah J.","A Court of Thorns and Roses","Brevard County Public Schools","Florida","List 4",""
"82","Maas, Sarah J.","A Court of Frost and Starlight","Brevard County Public Schools","Florida","List 4",""
"83","Maas, Sarah J.","A Court of Wings and Ruin","Brevard County Public Schools","Florida","List 4",""
"84","Maas, Sarah J.","Empire of Storms","Brevard County Public Schools","Florida","List 4",""
"85","Maas, Sarah J.","House of Earth and Blood","Brevard County Public Schools","Florida","List 4",""
"86","Maas, Sarah J.","House of Sky and Breath","Brevard County Public Schools","Florida","List 4",""
"87","McCormick, Patricia","Sold","Brevard County Public Schools","Florida","Brevard Cty M4L Site Stating They Are On Quarentine",""
"88","Myracle, Lauren","The Infinite Moment of Us","Brevard County Public Schools","Florida","List 3",""
"89","Niven, Jennifer","Breathless","Brevard County Public Schools","Florida","List 3",""
"90","Perez, Ashley Hope","Out of Darkness","Brevard County Public Schools","Florida","List 4",""
"91","Reed, Amy","The Nowhere Girls","Brevard County Public Schools","Florida","Brevard Cty M4L Site Stating They Are On Quarentine",""
"92","Reed, Amy","Beautiful","Brevard County Public Schools","Florida","List 4",""
"93","Rooney, Sally","Normal People","Brevard County Public Schools","Florida","List 4",""
"94","Sapphire","Push","Brevard County Public Schools","Florida","Brevard Cty M4L Site Stating They Are On Quarentine",""
"95","Scheeres, Julia","Jesus Land: A Memoir","Brevard County Public Schools","Florida","List 4",""
"96","Scott, Elizabeth","Living Dead Girl","Brevard County Public Schools","Florida","List 4",""
"97","Seabold, Alice","Lucky ","Brevard County Public Schools","Florida","Brevard Cty M4L Site Stating They Are On Quarentine",""
"98","Smyth, Ciara","Not My Problem","Brevard County Public Schools","Florida","Brevard Cty M4L Site Stating They Are On Quarentine",""
"99","Tamaki, Mariko","This One Summer","Brevard County Public Schools","Florida","Brevard Cty M4L Site Stating They Are On Quarentine",""
"100","Vonnegut, Kurt","Slaughterhouse Five","Brevard County Public Schools","Florida","List 4",""
"101","Maas, Sarah","A Court of Frost and Starlight","Bristow Public Schools","Oklahoma","Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",""
"102","Reynolds, Jason and Brendan Kiely","All American Boys","Bristow Public Schools","Oklahoma","Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",""
"103","Glines, Abbi","Bad for You","Bristow Public Schools","Oklahoma","",""
"104","Oliver, Lauren","Before I Fall","Bristow Public Schools","Oklahoma","",""
"105","Septys, Ruta","Between Shades of Gray","Bristow Public Schools","Oklahoma","Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",""
"106","Anaya, Rudolfo","Bless Me Ultima","Bristow Public Schools","Oklahoma","Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",""
"107","Huxley, Aldous","Brave New World","Bristow Public Schools","Oklahoma","Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",""
"108","Patterson, Katherine","Bridge to Terabithia","Bristow Public Schools","Oklahoma","Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",""
"109","Oliver, Lauren","Broken Things","Bristow Public Schools","Oklahoma","",""
"110","Hopkins, Ellen","Burned","Bristow Public Schools","Oklahoma","Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",""
"111","Hopkins, Ellen","Crank","Bristow Public Schools","Oklahoma","Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",""
"112","White, Kiersten","Dark Descent of Elizabeth Frankenstein","Bristow Public Schools","Oklahoma","Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",""
"113","Meyer, Stephenie","Eclipse","Bristow Public Schools","Oklahoma","Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",""
"114","Meyer, Marissa","Fairest: LEvana's Story","Bristow Public Schools","Oklahoma","Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",""
"115","Lockington, Mariama J","For Black Girls Like Me","Bristow Public Schools","Oklahoma","Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",""
"116","Levithan, David","Hold Me Closer","Bristow Public Schools","Oklahoma","",""
"117","Roux, Madeleine","House of Furies","Bristow Public Schools","Oklahoma","Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",""
"118","Angelu, Maya","I Know Why The Caged Bird Sings","Bristow Public Schools","Oklahoma","Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",""
"119","Forman, Gayle","I was Here","Bristow Public Schools","Oklahoma","Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",""
"120","Arnold, Elana K.","Infandous","Bristow Public Schools","Oklahoma","Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",""
"121","Green, John","Looking for Alaska","Bristow Public Schools","Oklahoma","Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",""
"122","Golding, William","Lord of the Flies","Bristow Public Schools","Oklahoma","Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",""
"123","Pierce, Tamora","Mastif","Bristow Public Schools","Oklahoma","Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",""
"124","Gino, Alex","Melissa (George)","Bristow Public Schools","Oklahoma","",""
"125","Steinbeck, John","Of Mice and Men","Bristow Public Schools","Oklahoma","Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",""
"126","Schwartz, Alvin","Scary Stories to Tell in the Dark","Bristow Public Schools","Oklahoma","Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",""
"127","Anderson, Laurie Halse","Speak","Bristow Public Schools","Oklahoma","Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",""
"128","Wingarten, Lynn","Suicide Notes From Beautiful Girls","Bristow Public Schools","Oklahoma","Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",""
"129","Garvin, Jeff","Symptoms of Being Human","Bristow Public Schools","Oklahoma","",""
"130","Alexie, Sherman","The Absolutely True Diary of A Part Time Indian","Bristow Public Schools","Oklahoma","Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",""
"131","Morrison, Toni","The Bluest Eye","Bristow Public Schools","Oklahoma","Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",""
"132","Thomas, Angie","The Hate U Give","Bristow Public Schools","Oklahoma","Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",""
"133","Ten Boom, Corrie, John Sherril, et al","The Hiding Place: The Triumphant True Story of Corrie Ten Boom","Bristow Public Schools","Oklahoma","",""
"134","Sebold, Alice","The Lovely Bones","Bristow Public Schools","Oklahoma","Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",""
"135","Hinton, SE","The Outsiders","Bristow Public Schools","Oklahoma","Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",""
"136","Smith, Amber","The Way I used to Be","Bristow Public Schools","Oklahoma","",""
"137","Asher, Jay","Thirteen Reasons Why","Bristow Public Schools","Oklahoma","Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",""
"138","Crutcher, Chris","Whale Talk","Bristow Public Schools","Oklahoma","Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",""
"139","Telgemeier, Raina","Drama","Brookfield Schools","","",""
"140","Kobabe, Maia","Gender Queer: A Memoir","Canutillo Independent School District","Texas","",""
"141","Kuklin, Susan","Beyond magenta :
 transgender teens speak
 out","Canyons School District","Utah","parent emailed complaint - books pulled",""
"142","Kobabe, Maia","Gender Queer: A Memoir","Canyons School District","Utah","parent emailed complaint - books pulled",""
"143","Myracle, Lauren","L8R, G8R","Canyons School District","Utah","parent emailed complaint - books pulled",""
"144","Evison, Jonathan","Lawn Boy","Canyons School District","Utah","parent emailed complaint - books pulled",""
"145","Nabokov, Vladimir","Lolita","Canyons School District","Utah","parent emailed complaint - books pulled",""
"146","Jackson, Tiffany D","Monday's Not Coming","Canyons School District","Utah","parent emailed complaint - books pulled",""
"147","Perez, Ashley Hope","OUT OF DARKNESS","Canyons School District","Utah","parent emailed complaint - books pulled",""
"148","Morrison, Toni","The Bluest Eye","Canyons School District","Utah","parent emailed complaint - books pulled",""
"149","Sones, Sonya","The Opposite of Innocent","Canyons School District","Utah","parent emailed complaint - books pulled",""
"150","Gyasi, Yaa","Homegoing","Carmel  Clay Schools","Indiana","",""
"151","Devenny, Jenny","Race Cars","Carmel  Clay Schools","Indiana","",""
"152","Maas, Sarah J","A Court of Silver FLames","Carmel  Clay Schools","Indiana","",""
"153","Thompson, Craig","Blankets","Carmel  Clay Schools","Indiana","",""
"154","Lukoff, Kyle","Call Me Max","Carmel  Clay Schools","Indiana","",""
"155","Hopkins, Ellen","Crank","Carmel  Clay Schools","Indiana","",""
"156","Pardes, Bronwen","Doing it right : making
 smart, safe, and satisfying
 choices about sex","Carmel  Clay Schools","Indiana","",""
"157","Walton, Jessica","Introducing Teddy","Carmel  Clay Schools","Indiana","These two books were part of the complaint and part of the effort on the advisory committee to search for and they announced that they were not found - I think it's important but it might not be important to count here.",""
"158","Harris, Robie H.","It's perfectly normal : a book about changing bodies, growing up, sex, and sexual health 1994 VERSION","Carmel  Clay Schools","Indiana","We'll call this the ""third way"" schools can choose to deal with troublesome books. I'd love to see the advisory committee notes on these decisions. BUT IS THIS SOMETHING YOU WANT COUNTED. ",""
"159","Harris, Robie H.","It's perfectly normal : a book about changing bodies, growing up, sex, and sexual health 2014 vERSION","Carmel  Clay Schools","Indiana","",""
"160","Scheeres, Julia","Jesus Land: A Memoir","Carmel  Clay Schools","Indiana","",""
"161","Myracle, Lauren","L8R, G8R","Carmel  Clay Schools","Indiana","We'll call this the ""third way"" schools can choose to deal with troublesome books. I'd love to see the advisory committee notes on these decisions. BUT IS THIS SOMETHING YOU WANT COUNTED. ",""
"162","Finch, Michelle and Phoenix FInch","Phoenix Goes To School","Carmel  Clay Schools","Indiana","",""
"163","Newman, Lesléa","Sparkle Boy","Carmel  Clay Schools","Indiana","These two books were part of the complaint and part of the effort on the advisory committee to search for and they announced that they were not found - I think it's important but it might not be important to count here.",""
"164","Myracle, Lauren","The Infinite Moment of Us","Carmel  Clay Schools","Indiana","",""
"165","Ramee, Lisa Moore","A good Kind of Trouble","Carroll Independent School District","Texas","Teachers Pulled After SD rules",""
"166","Morrison, Toni","ALL books","Carroll Independent School District","Texas","Teachers Pulled After SD rules",""
"167","Tonatiuh, Duncan","Separate is Never Equal","Carroll Independent School District","Texas","Teachers Pulled After SD rules",""
"168","Thomas, Angie","The Hate U Give","Carroll Independent School District","Texas","Teachers Pulled After SD rules",""
"169","Jewell, Tiffany","This Book Is Anti-Racist","Carroll Independent School District","Texas","Teacher reprimanded after it was found in her library",""
"170","","The Kite Runner","Cedarsburg School District","Wisconsin","3/2022",""
"171","Kabobe, Maria","Gender Queer: A Memoir","Central Kitsap","Washington","",""
"172","Lassieur, Allison","25 Women Who Dared to Go","Central York","Pennsylvania","September 2021",""
"173","Sherman, Jill","25 Women Who Fought Back","Central York","Pennsylvania","September 2021",""
"174","Stanborough, Rebecca J","25 Women Who Rules","Central York","Pennsylvania","September 2021",""
"175","Sherman, Jill","25 Women Who Thought of It First","Central York","Pennsylvania","September 2021",""
"176","Adeyoha, Koja and Angel","47,000 Beads","Central York","Pennsylvania","September 2021",""
"177","Lin, Grace","A Big Mooncake for Little Star","Central York","Pennsylvania","September 2021",""
"178","Boelts, Maribeth","A Bike Like Sergio's","Central York","Pennsylvania","September 2021",""
"179","Arnold, Elana","A Boy Called Bat","Central York","Pennsylvania","September 2021",""
"180","Arnold, Elana K","A Boy Called Bat","Central York","Pennslyvania","and MANY more",""
"181","Memory, Jelani","A Kids Book About Racism","Central York","Pennsylvania","September 2021",""
"182","Byrant, Jen","A Splash of Red: The Life and Art of Horace Pippen","Central York","Pennsylvania","September 2021",""
"183","Wallmark, Laurie","Ada Byron Lovelace & the Thinking Machine","Central York","Pennsylvania","September 2021",""
"184","Fuerst, Jeffrey","African American Cowboys: True Heroes of the Old West","Central York","Pennsylvania","September 2021",""
"185","Undefeated","Alexander, Kwame and Kadir Nelson","Central York","Pennsylvania","September 2021",""
"186","Reynolds, Jason and Brendan Kiely","All American Boys","Central York","Pennsylvania","September 2021",""
"187","Penfold, Alexandra","All are Welcome","Central York","Pennsylvania","September 2021",""
"188","Penfold, Alexandra","All Are Welcome","Central York","Pennsylvania","September 2021",""
"189","Johnson, George M","All Boys Aren't blue","Central York","Pennsylvania","September 2021",""
"190","Kissinger, Katie","All the Colors We Are","Central York","Pennsylvania","September 2021",""
"191","Scanlon, Liz Garlan","All the World","Central York","Pennsylvania","September 2021",""
"192","A is for Audra: Broadway's Leading Ladies from A to Z","Allman, John Robert","Central York","Pennsylvania","September 2021",""
"193","Martinez-Neal, Juana","Alma and How She Got Her Name","Central York","Pennsylvania","September 2021",""
"194","Martinez-Neal, Juana","Alma and How She Got Her Name","Central York","Pennsylvania","September 2021",""
"195","Wyeth, Sharon Dennis","Always My Dad","Central York","Pennsylvania","September 2021",""
"196","Saeed, Aisha","Amal Unbound","Central York","Pennsylvania","September 2021",""
"197","Hoffman, Mary","Amazing Grace","Central York","Pennsylvania","September 2021",""
"198","Hoffman, Mary and Caroline Binch","Amazing Grace","Central York","Pennsylvania","September 2021",""
"199","Chin-Lee, Cynthia","Amelia to Zora: Twenty Six Women Who Changed the World","Central York","Pennsylvania","September 2021",""
"200","Ortiz, Paul","An African American and Latinx History of the United States ","Central York","Pennsylvania","September 2021",""
"201","Dunbar-Ortiz, Roxanne and Debbie Reese","An Indigenous People's History of the United States","Central York","Pennsylvania","September 2021",""
"202","Atinuke","Anna Hibiscus","Central York","Pennsylvania","September 2021",""
"203","Robinson, Christian","Another","Central York","Pennsylvania","September 2021",""
"204","Brown, Tameka Fryer","Around Our Way on Neighbor's Way","Central York","Pennsylvania","September 2021",""
"205","Reynolds, Jason","As Brave as You","Central York","Pennsylvania","September 2021",""
"206","Tuok, Pamela","As Fast as Words Could Fly","Central York","Pennsylvania","September 2021",""
"207","Arnold, Elana","Bat and the End of Everything","Central York","Pennsylvania","September 2021",""
"208","Arnold, Elana","Bat and the Waiting Game","Central York","Pennsylvania","September 2021",""
"209","Rhodes, Jewell Parker","Bayou Magic","Central York","Pennsylvania","September 2021",""
"210","Willems, Jacqueline","Because","Central York","Pennsylvania","September 2021",""
"211","Weatherford, Carole Boston","Before John was a Jazz Giant - A Song of John Coltrane","Central York","Pennsylvania","September 2021",""
"212","Woodson, Jacqueline","Before the Ever After","Central York","Pennsylvania","September 2021",""
"213","Ahmed, Sara","Being the Change","Central York","Pennsylvania","September 2021",""
"214","Ahmed, Sarah","Being the Change: LEssons and Strategies to Teach Social Comprehension","Central York","Pennsylvania","September 2021",""
"215","Coates, Ta Nehisi ","Between the World and Me","Central York","Pennsylvania","September 2021",""
"216","Walker, Abena","Beyond Theory: A Blue RPint to omplement African-Center Education","Central York","Pennsylvania","September 2021",""
"217","Swain-Bates, Crystal","Big Hair, Don't Care","Central York","Pennsylvania","September 2021",""
"218","Saeed, Aisha","Bilal Cooks Daal","Central York","Pennsylvania","September 2021",""
"219","Lyiscott, Jamila","Black Appetite. White Food.","Central York","Pennsylvania","September 2021",""
"220","Ginwright, Shawn","Black Youth Rising","Central York","Pennsylvania","September 2021",""
"221","Banaji & Greenwald","Blind Spot","Central York","Pennsylvania","September 2021",""
"222","Stovall, David","Born Out Of Struggle","Central York","Pennsylvania","September 2021",""
"223","Woodson, Jacqueline","Brown Girl Dreaming","Central York","Pennsylvania","September 2021",""
"224","Latham, Irene","Can I touch your hair?","Central York","Pennsylvania","September 2021",""
"225","Tatum, Beverly Daniel","Can We Talk About Race","Central York","Pennsylvania","September 2021",""
"226","Pena, de la Matt","Carmela Full of Wishes","Central York","Pennsylvania","September 2021",""
"227","Hubbard, Crystal","Catching the Moon","Central York","Pennsylvania","September 2021",""
"228","Harrison, Vashti","Cece Loves Science","Central York","Pennsylvania","September 2021",""
"229","Bolden, Tonya","Changing the Equation: 50+ US Black Women in STEM","Central York","Pennsylvania","September 2021",""
"230","Melvin, Leland","Chasing Space (young reader's edition)","Central York","Pennsylvania","September 2021",""
"231","Hair Love","Cherry, Matthew A. and Vashti Harrison","Central York","Pennsylvania","September 2021",""
"232","Dismondy, Maria","Chocolate Milk Por Favor","Central York","Pennsylvania","September 2021",""
"233","Tan, Susan","Cilla Lee-Jenkins (series)","Central York","Pennsylvania","September 2021",""
"234","Acevedo, ELizabeth","Clap When You Land","Central York","Pennsylvania","September 2021",""
"235","McGhee, Holly","Come with Me","Central York","Pennsylvania","September 2021",""
"236","George, Linda and Charles","Commuity Builder: Luis Munoz Marin","Central York","Pennsylvania","September 2021",""
"237","Wade, Dodson Mary","Condoleezza Rice: Being the Best","Central York","Pennsylvania","September 2021",""
"238","Becker, Helaine","Counting on Katherine","Central York","Pennsylvania","September 2021",""
"239","Becker, Helaine","Counting on Katherine: How Katherine Johnson Saved Apollo 13","Central York","Pennsylvania","September 2021",""
"240","Singleton, Glenn","Courageous Conversations about Race","Central York","Pennsylvania","September 2021",""
"241","New Kid","Craft, Jerry","Central York","Pennsylvania","September 2021",""
"242","Barnes, Derrick","Crown: An Ode to the Fresh Cut","Central York","Pennsylvania","September 2021",""
"243","Muhammad, Gholdy","Cultivating Genius","Central York","Pennsylvania","September 2021",""
"244","Hollie, Sharroky","Culturally and Linguistically Responsive Teaching","Central York","Pennsylvania","September 2021",""
"245","Geneva Gay","Culturally Responsive Teaching","Central York","Pennsylvania","September 2021",""
"246","Hammond, Zaretta","Culturally Responsive Teaching and the Brain","Central York","Pennsylvania","September 2021",""
"247","Paris & Alim","Culturally Sustaining Pedagogies","Central York","Pennsylvania","September 2021",""
"248","Braswell, Kenneth","Daddy, There's a Noise Outside","Central York","Pennsylvania","September 2021",""
"249","Menez, Yamile Saied","de done eres?","Central York","Pennsylvania","September 2021",""
"250","Miedoso, Andres","Desmond Cole, Ghost Patrol (series)","Central York","Pennsylvania","September 2021",""
"251","Miller, Sharee","Don't Touch My Hair","Central York","Pennsylvania","September 2021",""
"252","Le, Minh","Drawn Together","Central York","Pennsylvania","September 2021",""
"253","Engle, Margarita","Dream Drum Girl","Central York","Pennsylvania","September 2021",""
"254","Morales, Yuyi","Dreamers","Central York","Pennsylvania","September 2021",""
"255","Billings, Gloria Ladson","Dreamkeepers ","Central York","Pennsylvania","September 2021",""
"256","Davis-Pinkney, Andrea","Duke Ellington","Central York","Pennsylvania","September 2021",""
"257","Woodson, Jacqueline","Each Kindness","Central York","Pennsylvania","September 2021",""
"258","Millner, Denene","Early Sunday Morning","Central York","Pennsylvania","September 2021",""
"259","La Grotteria, Cani ","El color de la pels","Central York","Pennsylvania","September 2021",""
"260","Woodson, Jacqueline","El dia en qui descubres quien eres","Central York","Pennsylvania","September 2021",""
"261","Sabin, Francene and Joann Early Macken","Elizabeth Blackwell: First Woman Doctor","Central York","Pennsylvania","September 2021",""
